move_id,sku,batch_id,quantity,source_location,destination_location,worker_id,timestamp,reason
MOV-00303,MED-1107,BATCH-MED-1107-01,200,CONT-03-R01-B04,CONT-02-R02-B02,W-103,2026-08-18 10:57:31.969562,ISOLATION
MOV-00308,MED-1110,BATCH-MED-1110-01,200,COLD-03-R04-B01,COLD-03-R01-B02,W-104,2026-08-25 11:57:31.969562,REPLENISHMENT
MOV-00309,MED-1110,BATCH-MED-1110-01,200,COLD-03-R01-B02,COLD-01-R05-B02,W-103,2026-08-28 17:57:31.969562,ISOLATION
MOV-00310,MED-1110,BATCH-MED-1110-01,100,COLD-01-R05-B02,COLD-03-R04-B02,W-101,2026-08-31 14:57:31.969562,ISOLATION
MOV-MED1042,MED-1042,BATCH-MED1042-01,100,A-03-R02-B04,COLD-02-R01-B03,W-102,2026-09-04 09:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1100,MED-1100,BATCH-MED-1100-01,150,CONT-03-R03-B04,AMBI-03-R01-B03,W-104,2026-09-03 15:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1012,MED-1012,BATCH-MED-1012-01,150,QUAR-02-R05-B04,COLD-02-R02-B04,W-104,2026-09-04 05:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1053,MED-1053,BATCH-MED-1053-01,150,HIGH-02-R05-B01,HIGH-03-R04-B01,W-102,2026-09-03 17:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1067,MED-1067,BATCH-MED-1067-01,150,CONT-04-R02-B03,AMBI-01-R05-B04,W-101,2026-09-04 08:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1097,MED-1097,BATCH-MED-1097-01,150,QUAR-04-R03-B02,A-03-R02-B04,W-104,2026-09-04 05:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1036,MED-1036,BATCH-MED-1036-01,150,CONT-01-R03-B04,QUAR-02-R01-B01,W-103,2026-09-04 09:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1090,MED-1090,BATCH-MED-1090-01,150,AMBI-04-R05-B04,AMBI-02-R01-B02,W-104,2026-09-03 15:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1049,MED-1049,BATCH-MED-1049-01,150,COLD-02-R04-B04,QUAR-03-R05-B01,W-101,2026-09-04 08:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1060,MED-1060,BATCH-MED-1060-01,150,COLD-02-R03-B04,HIGH-02-R01-B03,W-104,2026-09-04 11:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1064,MED-1064,BATCH-MED-1064-01,150,CONT-02-R03-B04,AMBI-04-R01-B03,W-104,2026-09-04 09:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1043,MED-1043,BATCH-MED-1043-01,150,COLD-04-R05-B01,QUAR-02-R02-B02,W-103,2026-09-04 07:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1076,MED-1076,BATCH-MED-1076-01,150,CONT-02-R01-B03,AMBI-04-R03-B01,W-101,2026-09-03 19:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1001,MED-1001,BATCH-MED-1001-01,150,AMBI-04-R05-B04,QUAR-04-R01-B03,W-103,2026-09-04 05:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1101,MED-1101,BATCH-MED-1101-01,150,QUAR-04-R01-B03,COLD-02-R02-B04,W-101,2026-09-04 08:57:31.969562,UNRECORDED_MOVE
MOV-DISC-MED-1110,MED-1110,BATCH-MED-1110-01,150,QUAR-03-R04-B04,COLD-04-R05-B02,W-102,2026-09-04 04:57:31.969562,UNRECORDED_MOVE
